DATE,VXFXICLS
2015-01-02,26.46
2015-01-05,26.97
2015-01-06,27.24
2015-01-07,27.11
2015-01-08,25.57
2015-01-09,25.39
2015-01-12,25.69
2015-01-13,24.82
2015-01-14,25.49
2015-01-15,26.10
2015-01-16,26.17
2015-01-19,.
2015-01-20,27.86
2015-01-21,26.72
2015-01-22,26.66
2015-01-23,25.83
2015-01-26,25.60
2015-01-27,25.16
2015-01-28,25.04
2015-01-29,25.26
2015-01-30,25.52
2015-02-02,25.98
2015-02-03,25.94
2015-02-04,27.32
2015-02-05,26.06
2015-02-06,24.87
2015-02-09,24.98
2015-02-10,23.99
2015-02-11,23.03
2015-02-12,22.51
2015-02-13,21.59
2015-02-16,.
2015-02-17,20.99
2015-02-18,20.91
2015-02-19,20.78
2015-02-20,20.61
2015-02-23,21.35
2015-02-24,21.35
2015-02-25,21.10
2015-02-26,21.03
2015-02-27,20.93
2015-03-02,20.66
2015-03-03,20.68
2015-03-04,20.92
2015-03-05,20.85
2015-03-06,20.81
2015-03-09,21.34
2015-03-10,21.89
2015-03-11,21.95
2015-03-12,22.44
2015-03-13,23.07
2015-03-16,23.67
2015-03-17,23.38
2015-03-18,23.33
2015-03-19,22.27
2015-03-20,21.22
2015-03-23,21.20
2015-03-24,20.15
2015-03-25,20.14
2015-03-26,20.17
2015-03-27,20.56
2015-03-30,23.93
2015-03-31,22.42
2015-04-01,23.12
2015-04-02,22.87
2015-04-03,.
2015-04-06,24.38
2015-04-07,24.35
2015-04-08,29.65
2015-04-09,34.08
2015-04-10,33.85
2015-04-13,38.09
2015-04-14,34.53
2015-04-15,32.44
2015-04-16,31.00
2015-04-17,32.67
2015-04-20,32.39
2015-04-21,30.95
2015-04-22,31.45
2015-04-23,31.84
2015-04-24,33.03
2015-04-27,33.89
2015-04-28,32.58
2015-04-29,32.31
2015-04-30,30.82
2015-05-01,30.10
2015-05-04,29.31
2015-05-05,30.73
2015-05-06,31.51
2015-05-07,31.01
2015-05-08,30.68
2015-05-11,29.07
2015-05-12,29.11
2015-05-13,27.45
2015-05-14,27.09
2015-05-15,27.21
2015-05-18,27.70
2015-05-19,28.94
2015-05-20,28.68
2015-05-21,28.08
2015-05-22,29.71
2015-05-25,.
2015-05-26,31.28
2015-05-27,30.76
2015-05-28,31.78
2015-05-29,30.58
2015-06-01,31.18
2015-06-02,30.57
2015-06-03,29.87
2015-06-04,31.37
2015-06-05,31.48
2015-06-08,32.29
2015-06-09,32.37
2015-06-10,30.42
2015-06-11,29.59
2015-06-12,30.10
2015-06-15,31.12
2015-06-16,31.99
2015-06-17,31.13
2015-06-18,30.24
2015-06-19,29.73
2015-06-22,29.12
2015-06-23,28.13
2015-06-24,27.80
2015-06-25,27.58
2015-06-26,29.36
2015-06-29,32.25
2015-06-30,31.62
2015-07-01,30.95
2015-07-02,30.31
2015-07-03,.
2015-07-06,31.53
2015-07-07,36.23
2015-07-08,46.81
2015-07-09,42.75
2015-07-10,38.91
2015-07-13,34.37
2015-07-14,32.56
2015-07-15,32.14
2015-07-16,30.23
2015-07-17,29.52
2015-07-20,28.29
2015-07-21,27.19
2015-07-22,26.51
2015-07-23,28.94
2015-07-24,30.61
2015-07-27,38.51
2015-07-28,33.85
2015-07-29,30.97
2015-07-30,30.25
2015-07-31,30.35
2015-08-03,30.99
2015-08-04,29.53
2015-08-05,29.11
2015-08-06,29.17
2015-08-07,29.09
2015-08-10,29.27
2015-08-11,32.02
2015-08-12,33.28
2015-08-13,31.43
2015-08-14,29.87
2015-08-17,30.37
2015-08-18,30.99
2015-08-19,32.67
2015-08-20,36.33
2015-08-21,40.51
2015-08-24,58.40
2015-08-25,53.03
2015-08-26,47.13
2015-08-27,41.80
2015-08-28,45.85
2015-08-31,45.58
2015-09-01,53.69
2015-09-02,49.23
2015-09-03,47.36
2015-09-04,55.47
2015-09-07,.
2015-09-08,48.96
2015-09-09,46.86
2015-09-10,49.02
2015-09-11,47.71
2015-09-14,47.48
2015-09-15,45.72
2015-09-16,42.51
2015-09-17,39.17
2015-09-18,40.85
2015-09-21,37.84
2015-09-22,39.91
2015-09-23,40.64
2015-09-24,41.41
2015-09-25,40.34
2015-09-28,43.47
2015-09-29,42.84
2015-09-30,40.24
2015-10-01,38.96
2015-10-02,37.79
2015-10-05,36.58
2015-10-06,36.34
2015-10-07,35.56
2015-10-08,34.90
2015-10-09,34.11
2015-10-12,32.77
2015-10-13,32.81
2015-10-14,33.53
2015-10-15,32.23
2015-10-16,32.00
2015-10-19,31.50
2015-10-20,31.24
2015-10-21,31.15
2015-10-22,30.43
2015-10-23,30.31
2015-10-26,31.27
2015-10-27,31.38
2015-10-28,31.44
2015-10-29,31.62
2015-10-30,29.65
2015-11-02,29.28
2015-11-03,28.72
2015-11-04,28.92
2015-11-05,29.51
2015-11-06,28.47
2015-11-09,30.48
2015-11-10,29.94
2015-11-11,28.92
2015-11-12,29.43
2015-11-13,31.01
2015-11-16,31.11
2015-11-17,30.22
2015-11-18,29.08
2015-11-19,28.99
2015-11-20,28.67
2015-11-23,27.52
2015-11-24,27.67
2015-11-25,26.91
2015-11-26,.
2015-11-27,27.56
2015-11-30,29.42
2015-12-01,28.57
2015-12-02,28.83
2015-12-03,28.56
2015-12-04,27.39
2015-12-07,27.99
2015-12-08,29.60
2015-12-09,29.50
2015-12-10,30.87
2015-12-11,36.42
2015-12-14,35.26
2015-12-15,32.49
2015-12-16,30.12
2015-12-17,28.72
2015-12-18,28.90
2015-12-21,28.02
2015-12-22,27.25
2015-12-23,25.87
2015-12-24,25.75
2015-12-25,.
2015-12-28,27.69
2015-12-29,26.73
2015-12-30,26.60
2015-12-31,27.02
2016-01-01,.
2016-01-04,32.07
2016-01-05,31.52
2016-01-06,33.36
2016-01-07,43.85
2016-01-08,43.54
2016-01-11,41.43
2016-01-12,39.64
2016-01-13,40.58
2016-01-14,37.76
2016-01-15,43.27
2016-01-18,.
2016-01-19,39.62
2016-01-20,43.36
2016-01-21,43.26
2016-01-22,38.71
2016-01-25,40.53
2016-01-26,39.98
2016-01-27,39.24
2016-01-28,38.14
2016-01-29,34.52
2016-02-01,35.61
2016-02-02,38.31
2016-02-03,37.77
2016-02-04,38.13
2016-02-05,39.69
2016-02-08,43.09
2016-02-09,46.20
2016-02-10,43.48
2016-02-11,46.73
2016-02-12,44.89
2016-02-15,.
2016-02-16,40.99
2016-02-17,39.02
2016-02-18,38.60
2016-02-19,37.23
2016-02-22,34.39
2016-02-23,35.89
2016-02-24,37.49
2016-02-25,38.90
2016-02-26,37.35
2016-02-29,37.58
2016-03-01,34.39
2016-03-02,32.53
2016-03-03,32.18
2016-03-04,32.28
2016-03-07,32.56
2016-03-08,33.36
2016-03-09,33.26
2016-03-10,32.19
2016-03-11,30.63
2016-03-14,30.10
2016-03-15,29.91
2016-03-16,28.78
2016-03-17,28.22
2016-03-18,27.49
2016-03-21,27.32
2016-03-22,27.67
2016-03-23,28.17
2016-03-24,28.62
2016-03-25,.
2016-03-28,29.30
2016-03-29,28.99
2016-03-30,28.34
2016-03-31,28.42
2016-04-01,29.31
2016-04-04,29.71
2016-04-05,30.72
2016-04-06,29.70
2016-04-07,31.02
2016-04-08,29.47
2016-04-11,28.90
2016-04-12,27.84
2016-04-13,28.08
2016-04-14,27.74
2016-04-15,27.57
2016-04-18,26.97
2016-04-19,26.42
2016-04-20,27.63
2016-04-21,27.93
2016-04-22,27.47
2016-04-25,28.12
2016-04-26,27.17
2016-04-27,26.82
2016-04-28,27.56
2016-04-29,28.94
2016-05-02,29.31
2016-05-03,30.24
2016-05-04,30.48
2016-05-05,29.76
2016-05-06,29.30
2016-05-09,30.66
2016-05-10,27.91
2016-05-11,27.46
2016-05-12,27.20
2016-05-13,28.81
2016-05-16,27.86
2016-05-17,28.81
2016-05-18,29.76
2016-05-19,29.20
2016-05-20,28.36
2016-05-23,27.90
2016-05-24,26.73
2016-05-25,25.79
2016-05-26,25.45
2016-05-27,25.04
2016-05-30,.
2016-05-31,27.23
2016-06-01,27.74
2016-06-02,26.58
2016-06-03,26.22
2016-06-06,26.52
2016-06-07,26.87
2016-06-08,25.95
2016-06-09,25.40
2016-06-10,28.51
2016-06-13,32.96
2016-06-14,34.23
2016-06-15,32.29
2016-06-16,31.34
2016-06-17,31.10
2016-06-20,28.86
2016-06-21,29.07
2016-06-22,30.91
2016-06-23,27.93
2016-06-24,32.05
2016-06-27,31.79
2016-06-28,27.95
2016-06-29,26.96
2016-06-30,26.12
2016-07-01,25.68
2016-07-04,.
2016-07-05,27.22
2016-07-06,27.50
2016-07-07,26.91
2016-07-08,25.36
2016-07-11,25.96
2016-07-12,26.08
2016-07-13,25.16
2016-07-14,24.02
2016-07-15,22.25
2016-07-18,22.99
2016-07-19,23.65
2016-07-20,23.40
2016-07-21,23.49
2016-07-22,22.73
2016-07-25,23.04
2016-07-26,23.26
2016-07-27,22.73
2016-07-28,22.28
2016-07-29,21.44
2016-08-01,21.74
2016-08-02,23.52
2016-08-03,22.88
2016-08-04,22.49
2016-08-05,21.60
2016-08-08,21.65
2016-08-09,20.68
2016-08-10,21.01
2016-08-11,21.43
2016-08-12,20.89
2016-08-15,21.96
2016-08-16,23.24
2016-08-17,23.00
2016-08-18,22.14
2016-08-19,21.68
2016-08-22,21.90
2016-08-23,21.70
2016-08-24,22.86
2016-08-25,22.82
2016-08-26,21.94
2016-08-29,21.58
2016-08-30,21.94
2016-08-31,22.36
2016-09-01,22.28
2016-09-02,21.32
2016-09-05,.
2016-09-06,21.58
2016-09-07,21.28
2016-09-08,21.92
2016-09-09,25.02
2016-09-12,23.09
2016-09-13,25.83
2016-09-14,25.10
2016-09-15,24.22
2016-09-16,23.83
2016-09-19,24.18
2016-09-20,24.06
2016-09-21,22.31
2016-09-22,22.40
2016-09-23,22.56
2016-09-26,24.45
2016-09-27,23.08
2016-09-28,22.53
2016-09-29,24.25
2016-09-30,23.07
2016-10-03,23.34
2016-10-04,23.95
2016-10-05,24.18
2016-10-06,24.10
2016-10-07,24.51
2016-10-10,24.81
2016-10-11,25.95
2016-10-12,24.66
2016-10-13,26.17
2016-10-14,24.64
2016-10-17,25.12
2016-10-18,24.68
2016-10-19,24.34
2016-10-20,23.77
2016-10-21,22.58
2016-10-24,22.61
2016-10-25,22.47
2016-10-26,23.12
2016-10-27,23.57
2016-10-28,24.82
2016-10-31,25.55
2016-11-01,26.37
2016-11-02,26.68
2016-11-03,27.81
2016-11-04,29.10
2016-11-07,26.70
2016-11-08,27.08
2016-11-09,25.33
2016-11-10,26.06
2016-11-11,26.08
2016-11-14,26.35
2016-11-15,24.45
2016-11-16,24.10
2016-11-17,23.00
2016-11-18,21.58
2016-11-21,21.11
2016-11-22,21.08
2016-11-23,21.13
2016-11-24,.
2016-11-25,21.59
2016-11-28,23.35
2016-11-29,23.62
2016-11-30,23.35
2016-12-01,23.80
2016-12-02,23.88
2016-12-05,22.22
2016-12-06,21.18
2016-12-07,20.88
2016-12-08,21.46
2016-12-09,20.94
2016-12-12,23.29
2016-12-13,22.42
2016-12-14,23.76
2016-12-15,24.15
2016-12-16,24.42
2016-12-19,22.98
2016-12-20,23.06
2016-12-21,22.07
2016-12-22,23.36
2016-12-23,22.91
2016-12-26,.
2016-12-27,23.55
2016-12-28,24.59
2016-12-29,24.13
2016-12-30,24.61
2017-01-02,.
2017-01-03,23.08
2017-01-04,21.97
2017-01-05,20.77
2017-01-06,20.57
2017-01-09,20.44
2017-01-10,20.90
2017-01-11,20.85
2017-01-12,20.45
2017-01-13,19.47
2017-01-16,.
2017-01-17,19.70
2017-01-18,19.61
2017-01-19,19.59
2017-01-20,18.45
2017-01-23,18.78
2017-01-24,18.26
2017-01-25,17.09
2017-01-26,17.29
2017-01-27,16.79
2017-01-30,18.50
2017-01-31,19.17
2017-02-01,18.75
2017-02-02,18.24
2017-02-03,17.82
2017-02-06,18.30
2017-02-07,17.97
2017-02-08,18.61
2017-02-09,19.04
2017-02-10,19.24
2017-02-13,19.15
2017-02-14,19.02
2017-02-15,19.92
2017-02-16,19.30
2017-02-17,18.48
2017-02-20,.
2017-02-21,18.47
2017-02-22,18.43
2017-02-23,17.80
2017-02-24,18.38
2017-02-27,18.70
2017-02-28,18.83
2017-03-01,18.44
2017-03-02,19.00
2017-03-03,17.93
2017-03-06,17.72
2017-03-07,16.95
2017-03-08,17.05
2017-03-09,17.96
2017-03-10,17.77
2017-03-13,16.56
2017-03-14,17.02
2017-03-15,17.51
2017-03-16,17.71
2017-03-17,16.57
2017-03-20,18.04
2017-03-21,19.96
2017-03-22,19.42
2017-03-23,19.34
2017-03-24,19.19
2017-03-27,19.73
2017-03-28,18.46
2017-03-29,17.66
2017-03-30,16.85
2017-03-31,17.50
2017-04-03,17.33
2017-04-04,18.00
2017-04-05,17.96
2017-04-06,18.18
2017-04-07,18.36
2017-04-10,19.07
2017-04-11,19.92
2017-04-12,19.14
2017-04-13,19.02
2017-04-14,.
2017-04-17,18.93
2017-04-18,20.15
2017-04-19,19.49
2017-04-20,18.62
2017-04-21,19.13
2017-04-24,16.18
2017-04-25,15.58
2017-04-26,15.96
2017-04-27,15.30
2017-04-28,15.09
2017-05-01,15.68
2017-05-02,16.17
2017-05-03,16.83
2017-05-04,17.99
2017-05-05,18.34
2017-05-08,17.48
2017-05-09,17.33
2017-05-10,17.41
2017-05-11,17.51
2017-05-12,17.37
2017-05-15,18.15
2017-05-16,18.03
2017-05-17,20.07
2017-05-18,19.65
2017-05-19,17.80
2017-05-22,16.76
2017-05-23,16.94
2017-05-24,17.21
2017-05-25,17.56
2017-05-26,17.28
2017-05-29,.
2017-05-30,17.60
2017-05-31,16.92
2017-06-01,16.51
2017-06-02,16.59
2017-06-05,16.50
2017-06-06,16.58
2017-06-07,15.59
2017-06-08,15.25
2017-06-09,16.76
2017-06-12,16.98
2017-06-13,16.30
2017-06-14,16.38
2017-06-15,17.33
2017-06-16,16.46
2017-06-19,16.67
2017-06-20,17.44
2017-06-21,16.77
2017-06-22,16.13
2017-06-23,15.98
2017-06-26,16.37
2017-06-27,16.98
2017-06-28,16.89
2017-06-29,18.45
2017-06-30,17.69
2017-07-03,17.55
2017-07-04,.
2017-07-05,18.05
2017-07-06,18.37
2017-07-07,18.53
2017-07-10,18.04
2017-07-11,18.04
2017-07-12,17.79
2017-07-13,17.39
2017-07-14,17.28
2017-07-17,17.35
2017-07-18,17.43
2017-07-19,16.88
2017-07-20,16.92
2017-07-21,16.27
2017-07-24,16.29
2017-07-25,16.29
2017-07-26,15.19
2017-07-27,15.98
2017-07-28,17.21
2017-07-31,16.58
2017-08-01,16.92
2017-08-02,17.94
2017-08-03,17.95
2017-08-04,17.38
2017-08-07,17.24
2017-08-08,17.66
2017-08-09,18.98
2017-08-10,23.19
2017-08-11,23.55
2017-08-14,20.17
2017-08-15,20.36
2017-08-16,18.41
2017-08-17,21.65
2017-08-18,20.70
2017-08-21,18.50
2017-08-22,17.88
2017-08-23,17.55
2017-08-24,18.29
2017-08-25,19.15
2017-08-28,19.90
2017-08-29,20.89
2017-08-30,20.44
2017-08-31,20.17
2017-09-01,19.72
2017-09-04,.
2017-09-05,21.38
2017-09-06,20.64
2017-09-07,20.30
2017-09-08,20.32
2017-09-11,17.26
2017-09-12,16.95
2017-09-13,15.71
2017-09-14,15.57
2017-09-15,15.23
2017-09-18,15.98
2017-09-19,16.02
2017-09-20,16.03
2017-09-21,15.85
2017-09-22,16.41
2017-09-25,18.81
2017-09-26,18.64
2017-09-27,17.98
2017-09-28,18.59
2017-09-29,17.45
2017-10-02,18.03
2017-10-03,18.03
2017-10-04,18.41
2017-10-05,18.52
2017-10-06,19.06
2017-10-09,18.87
2017-10-10,18.15
2017-10-11,17.7
2017-10-12,17.71
2017-10-13,17.46
2017-10-16,17.62
2017-10-17,17.49
2017-10-18,17.27
2017-10-19,17.62
2017-10-20,17.33
2017-10-23,18.61
2017-10-24,18.67
2017-10-25,19.78
2017-10-26,19.33
2017-10-27,18.65
2017-10-30,20.8
2017-10-31,19.46
2017-11-01,19.57
2017-11-02,18.83
2017-11-03,18.37
2017-11-06,19.23
2017-11-07,18.83
2017-11-08,18.86
2017-11-09,19.65
2017-11-10,19.03
2017-11-13,19.24
2017-11-14,19.84
2017-11-15,20.68
2017-11-16,18.95
2017-11-17,19.52
2017-11-20,19.36
2017-11-21,19.74
2017-11-22,20.41
2017-11-23,.
2017-11-24,20.72
2017-11-27,21.53
2017-11-28,22.01
2017-11-29,22.72
2017-11-30,23.62
2017-12-01,24.0
2017-12-04,23.32
2017-12-05,22.24
2017-12-06,23.73
2017-12-07,22.48
2017-12-08,21.46
2017-12-11,20.85
2017-12-12,21.57
2017-12-13,19.82
2017-12-14,19.3
2017-12-15,16.51
2017-12-18,19.63
2017-12-19,19.47
2017-12-20,20.32
2017-12-21,16.59
2017-12-22,17.78
2017-12-25,.
2017-12-26,19.33
2017-12-27,19.57
2017-12-28,18.68
2017-12-29,18.94
2018-01-01,.
2018-01-02,19.73
2018-01-03,19.4
2018-01-04,19.47
2018-01-05,18.96
2018-01-08,18.74
2018-01-09,18.55
2018-01-10,18.5
2018-01-11,18.42
2018-01-12,17.93
2018-01-15,.
2018-01-16,20.34
2018-01-17,21.41
2018-01-18,20.4
2018-01-19,21.2
2018-01-22,21.85
2018-01-23,23.63
2018-01-24,24.26
2018-01-25,24.91
2018-01-26,26.59
2018-01-29,27.39
2018-01-30,28.1
2018-01-31,25.31
2018-02-01,24.55
2018-02-02,26.72
2018-02-05,32.72
2018-02-06,29.17
2018-02-07,32.37
2018-02-08,36.62
2018-02-09,33.58
2018-02-12,30.58
2018-02-13,31.63
2018-02-14,26.87
2018-02-15,28.1
2018-02-16,26.85
2018-02-19,.
2018-02-20,27.85
2018-02-21,29.26
2018-02-22,28.08
2018-02-23,27.43
2018-02-26,26.46
2018-02-27,31.34
2018-02-28,28.32
2018-03-01,29.97
2018-03-02,28.5
2018-03-05,27.96
2018-03-06,27.63
2018-03-07,27.92
2018-03-08,27.24
2018-03-09,24.69
2018-03-12,24.66
2018-03-13,24.88
2018-03-14,25.73
2018-03-15,24.49
2018-03-16,22.82
2018-03-19,25.7
2018-03-20,26.02
2018-03-21,24.24
2018-03-22,28.69
2018-03-23,30.63
2018-03-26,27.83
2018-03-27,28.7
2018-03-28,30.39
2018-03-29,26.85
2018-03-30,.
2018-04-02,31.55
2018-04-03,28.79
2018-04-04,27.92
2018-04-05,27.25
2018-04-06,28.89
2018-04-09,27.07
2018-04-10,26.44
2018-04-11,25.79
2018-04-12,24.87
2018-04-13,24.26
2018-04-16,23.97
2018-04-17,23.96
2018-04-18,22.14
2018-04-19,22.01
2018-04-20,22.97
2018-04-23,22.47
2018-04-24,23.39
2018-04-25,24.17
2018-04-26,22.87
2018-04-27,22.29
2018-04-30,22.06
2018-05-01,22.08
2018-05-02,22.14
2018-05-03,22.69
2018-05-04,22.35
2018-05-07,22.7
2018-05-08,22.42
2018-05-09,21.63
2018-05-10,21.17
2018-05-11,19.75
2018-05-14,20.85
2018-05-15,21.27
2018-05-16,20.58
2018-05-17,21.03
2018-05-18,20.51
2018-05-21,20.68
2018-05-22,20.07
2018-05-23,21.39
2018-05-24,21.42
2018-05-25,20.49
2018-05-28,.
2018-05-29,23.55
2018-05-30,22.0
2018-05-31,20.63
2018-06-01,19.84
2018-06-04,19.83
2018-06-05,19.29
2018-06-06,18.59
2018-06-07,19.11
2018-06-08,19.34
2018-06-11,19.4
2018-06-12,18.31
2018-06-13,18.73
2018-06-14,18.29
2018-06-15,18.75
2018-06-18,18.62
2018-06-19,20.94
2018-06-20,20.95
2018-06-21,22.6
2018-06-22,20.99
2018-06-25,24.01
2018-06-26,22.62
2018-06-27,26.13
2018-06-28,25.37
2018-06-29,24.07
2018-07-02,26.66
2018-07-03,26.34
2018-07-04,.
2018-07-05,27.24
2018-07-06,24.92
2018-07-09,24.04
2018-07-10,22.63
2018-07-11,24.24
2018-07-12,22.59
2018-07-13,21.8
2018-07-16,22.26
2018-07-17,21.32
2018-07-18,21.98
2018-07-19,22.66
2018-07-20,22.59
2018-07-23,22.94
2018-07-24,23.04
2018-07-25,22.0
2018-07-26,22.15
2018-07-27,21.95
2018-07-30,22.29
2018-07-31,21.45
2018-08-01,21.72
2018-08-02,23.14
2018-08-03,21.98
2018-08-06,22.33
2018-08-07,21.38
2018-08-08,20.96
2018-08-09,20.5
2018-08-10,21.79
2018-08-13,22.77
2018-08-14,22.19
2018-08-15,26.17
2018-08-16,24.42
2018-08-17,25.34
2018-08-20,23.27
2018-08-21,21.37
2018-08-22,21.28
2018-08-23,21.4
2018-08-24,20.85
2018-08-27,22.37
2018-08-28,21.22
2018-08-29,20.97
2018-08-30,23.89
2018-08-31,22.92
2018-09-03,.
2018-09-04,23.69
2018-09-05,24.58
2018-09-06,24.48
2018-09-07,24.72
2018-09-10,24.7
2018-09-11,25.03
2018-09-12,24.71
2018-09-13,23.67
2018-09-14,23.02
2018-09-17,23.82
2018-09-18,22.77
2018-09-19,22.04
2018-09-20,21.7
2018-09-21,22.58
2018-09-24,22.83
2018-09-25,22.84
2018-09-26,22.57
2018-09-27,21.66
2018-09-28,21.05
2018-10-01,22.05
2018-10-02,23.31
2018-10-03,22.93
2018-10-04,25.35
2018-10-05,25.47
2018-10-08,25.56
2018-10-09,25.47
2018-10-10,28.81
2018-10-11,30.02
2018-10-12,28.51
2018-10-15,28.32
2018-10-16,26.83
2018-10-17,27.79
2018-10-18,30.56
2018-10-19,28.71
2018-10-22,28.62
2018-10-23,29.84
2018-10-24,32.69
2018-10-25,30.56
2018-10-26,32.12
2018-10-29,33.3
2018-10-30,31.27
2018-10-31,29.33
2018-11-01,29.45
2018-11-02,30.88
2018-11-05,30.26
2018-11-06,29.72
2018-11-07,27.37
2018-11-08,27.16
2018-11-09,28.34
2018-11-12,30.52
2018-11-13,30.79
2018-11-14,31.62
2018-11-15,31.99
2018-11-16,31.38
2018-11-19,31.25
2018-11-20,32.07
2018-11-21,30.22
2018-11-22,.
2018-11-23,29.99
2018-11-26,28.78
2018-11-27,28.73
2018-11-28,29.68
2018-11-29,28.58
2018-11-30,28.11
2018-12-03,23.69
2018-12-04,26.29
2018-12-05,.
2018-12-06,27.07
2018-12-07,27.9
2018-12-10,27.11
2018-12-11,27.27
2018-12-12,26.32
2018-12-13,25.26
2018-12-14,26.4
2018-12-17,28.0
2018-12-18,27.79
2018-12-19,27.61
2018-12-20,28.68
2018-12-21,29.01
2018-12-24,31.03
2018-12-25,.
2018-12-26,28.57
2018-12-27,28.88
2018-12-28,27.88
2018-12-31,26.49
